City,city_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
"New York, New York",8336817,10715,47.2914249,52.7085751,26.1,46.8,12.5,0.1,11.9,0,6.2,60,13.9,20,2.2,3.8,6,1.8,59.4,20.4,5.6,6.7,83.8,8.3,7.8,0.2,79781,1158,69529,945,31.8,2842.171989,56.4,46.9,48.6,64.1,36.4396947,14.38370533,0,1,9.706266192,86.55692074,0.036231205,11811.00819
"Los Angeles, California",3979576,3276,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.053824817,6782.028673
"Long Beach, California",462628,3523,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.066151185,6782.028673
"Santa Clarita, California",212979,1162,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.029469716,6782.028673
"Glendale, California",199303,2525,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.035724525,6782.028673
"Lancaster, California",157601,645,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.053740091,6782.028673
"Palmdale, California",155079,564,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.04277847,6782.028673
"Pomona, California",151691,2548,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.063758824,6782.028673
"Torrance, California",143592,2701,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.040068881,6782.028673
"Pasadena, California",141029,2371,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.055417269,6782.028673
"El Monte, California",115487,4663,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.03998262,6782.028673
